Although this program will describe the degrees of freedom in the 
problem, it will do so using the typedef for the elements. This is 
not neccesarily human readable, but there is a solution.
Pipe your program's output through c++filt, with the argument -t.
e.g. "./two_d_multi_poisson | c++filt -t > ReadableOutput.txt".
 (Disregarding the quotes)


Classifying Global Equation Numbers
--------------------------------------------------------------------------------
Eqn: 122 | Value 4 of Node 19 in Problem's Only Mesh.
Eqn: 123 | Value 5 of Node 19 in Problem's Only Mesh.
Eqn: 124 | Value 0 of Node 20 in Problem's Only Mesh.
Eqn: 125 | Value 1 of Node 20 in Problem's Only Mesh.
Eqn: 126 | Value 2 of Node 20 in Problem's Only Mesh.
Eqn: 127 | Value 3 of Node 20 in Problem's Only Mesh.
Eqn: 128 | Value 4 of Node 20 in Problem's Only Mesh.
Eqn: 129 | Value 5 of Node 20 in Problem's Only Mesh.
Eqn: 130 | Value 0 of Node 21 in Problem's Only Mesh.
Eqn: 131 | Value 1 of Node 21 in Problem's Only Mesh.
Eqn: 132 | Value 2 of Node 21 in Problem's Only Mesh.
Eqn: 133 | Value 3 of Node 21 in Problem's Only Mesh.
Eqn: 134 | Value 0 of Node 22 in Problem's Only Mesh.
Eqn: 135 | Value 1 of Node 22 in Problem's Only Mesh.
Eqn: 136 | Value 2 of Node 22 in Problem's Only Mesh.
Eqn: 137 | Value 3 of Node 22 in Problem's Only Mesh.
Eqn: 138 | Value 0 of Node 23 in Problem's Only Mesh.
Eqn: 139 | Value 1 of Node 23 in Problem's Only Mesh.
Eqn: 140 | Value 2 of Node 23 in Problem's Only Mesh.
Eqn: 141 | Value 3 of Node 23 in Problem's Only Mesh.
Eqn: 142 | Value 4 of Node 23 in Problem's Only Mesh.
Eqn: 143 | Value 5 of Node 23 in Problem's Only Mesh.
Eqn: 144 | Value 0 of Node 24 in Problem's Only Mesh.
Eqn: 145 | Value 1 of Node 24 in Problem's Only Mesh.
Eqn: 146 | Value 2 of Node 24 in Problem's Only Mesh.
Eqn: 147 | Value 3 of Node 24 in Problem's Only Mesh.
Eqn: 148 | Value 0 of Node 25 in Problem's Only Mesh.
Eqn: 149 | Value 1 of Node 25 in Problem's Only Mesh.
Eqn: 150 | Value 2 of Node 25 in Problem's Only Mesh.
Eqn: 151 | Value 3 of Node 25 in Problem's Only Mesh.
Eqn: 152 | Value 4 of Node 25 in Problem's Only Mesh.
Eqn: 153 | Value 0 of Node 26 in Problem's Only Mesh.
Eqn: 154 | Value 1 of Node 26 in Problem's Only Mesh.
Eqn: 155 | Value 2 of Node 26 in Problem's Only Mesh.
Eqn: 156 | Value 3 of Node 26 in Problem's Only Mesh.
Eqn: 157 | Value 0 of Node 27 in Problem's Only Mesh.
Eqn: 158 | Value 1 of Node 27 in Problem's Only Mesh.
Eqn: 159 | Value 2 of Node 27 in Problem's Only Mesh.
Eqn: 160 | Value 3 of Node 27 in Problem's Only Mesh.
Eqn: 161 | Value 0 of Node 28 in Problem's Only Mesh.
Eqn: 162 | Value 1 of Node 28 in Problem's Only Mesh.
Eqn: 163 | Value 2 of Node 28 in Problem's Only Mesh.
Eqn: 164 | Value 3 of Node 28 in Problem's Only Mesh.
Eqn: 165 | Value 0 of Node 29 in Problem's Only Mesh.
